Olivine crystal in <110>c orientation� Darot 1980 � creep tests at ambient pressure				
				
sample	Deviatoric stress (MPa)	T (�C)	Strain rate (s-1)	Finite strain
Fo-79-9-9	8.1000	1650	3.9000e-06	8.1%	
Fo-79-9-9	8.1000	1550	7.6000e-06	8.1%	
Fo-79-9-9	8.1000	1600	2.3000e-05	8.1%	
Fo-79-9-9	8.1000	1650	6.0000e-05	8.1%
Fo-79-9-1	20	    1400	5.0000e-06	8.5%	
Fo-79-9-1	20	    1450	1.8000e-05	8.5%	
Fo-79-9-1	20	    1500	4.3000e-05	8.5%	
Fo-79-9-1	20	    1550	1.0000e-04	8.5%	
Fo-79-9-1	20	    1600	0.00029000	8.5%
Fo-79-6-5	28.3	1600	0.0013000	13.3%	
Fo-79-6-5	28.3	1400	3.0000e-05	13.3%	
Fo-79-6-5	28.3	1450	9.9000e-05	13.3%	
Fo-79-6-5	28.3	1500	0.00023000	13.3%	
Fo-79-6-5	28.3	1550	0.00050000	13.3%	
Fo-79-6-5	28.3	1600	0.0010000	13.3%
Fo-79-6-9	54.100	1600	0.0082000	17.5%	
Fo-79-6-9	54.100	1400	0.00019000	17.5%	
Fo-79-6-9	54.100	1450	0.00048000	17.5%	
Fo-79-6-9	54.100	1500	0.00096000	17.5%	
Fo-79-6-9	54.100	1550	0.0020000	17.5%	
Fo-79-6-9	54.100	1600	0.0028000	17.5%
				
